08/10/2020;2020;Chuvosa;Amphibia;Anura;Craugastoridae;Haddadus;Haddadus binotatus;sapo;1;BA RA;H1;Corrego da Pedreira;565689;7776183;972;Camila Mendes Correia;Monitoramento;Herpetologia
08/10/2020;2020;Chuvosa;Amphibia;Anura;Hylidae;Boana;Boana lundii;sapo;5;BA RA;H1;Corrego da Pedreira;565689;7776183;972;Camila Mendes Correia;Monitoramento;Herpetologia
08/10/2020;2020;Chuvosa;Amphibia;Anura;Hylidae;Scinax;Scinax luizotavioi;sapo;3;BA  RA;H1;Corrego da Pedreira;565689;7776183;972;Camila Mendes Correia;Monitoramento;Herpetologia
08/10/2020;2020;Chuvosa;Amphibia;Anura;Hylidae;Boana;Boana albopunctata;sapo;10;BA RA;H2;Corrego da Pedreira;565368;7775496;906;Camila Mendes Correia;Monitoramento;Herpetologia
08/10/2020;2020;Chuvosa;Amphibia;Anura;Hylidae;Boana;Boana faber;sapo;5;BA RA;H2;Corrego da Pedreira;565368;7775496;906;Camila Mendes Correia;Monitoramento;Herpetologia
08/10/2020;2020;Chuvosa;Amphibia;Anura;Leptodactylidae;Leptodactylus;Leptodactylus fuscus;sapo;10;BA RA;H2;Corrego da Pedreira;565368;7775496;906;Camila Mendes Correia;Monitoramento;Herpetologia
12/10/2020;2020;Chuvosa;Reptilia;Squamata;Leiosauridae;Enyalius;Enyalius bilineatus;sapo;1;PIT;PIT1;Corrego da Pedreira;566121;7773191;1236;Camila Mendes Correia;Monitoramento;Herpetologia
12/10/2020;2020;Chuvosa;Amphibia;Anura;Bufonidae;Rhinella;Rhinella crucifer;sapo;5;PIT;PIT2;Corrego da Pedreira;559107;7771852;1316;Camila Mendes Correia;Monitoramento;Herpetologia
12/10/2020;2020;Chuvosa;Amphibia;Anura;Bufonidae;Rhinella;Rhinella crucifer;sapo;5;PIT;PIT3;Corrego da Pedreira;554696;7768486;1286;Camila Mendes Correia;Monitoramento;Herpetologia
12/10/2020;2020;Chuvosa;Amphibia;Anura;Hylidae;Bokermannohyla;Bokermannohyla circumdata;sapo;1;BA RA;H5;Corrego da Pedreira;567423;7772604;864;Camila Mendes Correia;Monitoramento;Herpetologia
